"timestamp","host_id","property_name","new_value"
0,"AS0","energy_mix","Mix:100.00"
0,"AS0","carbon_intensity","Mix:268.75"
0,"AS0","water_intensity","Mix:1.44"
900,"AS0","carbon_intensity","Mix:267.52"
900,"AS0","water_intensity","Mix:1.42"
1800,"AS0","carbon_intensity","Mix:266.11"
1800,"AS0","water_intensity","Mix:1.36"
2700,"AS0","carbon_intensity","Mix:263.56"
2700,"AS0","water_intensity","Mix:1.46"
3600,"AS0","carbon_intensity","Mix:261.62"
3600,"AS0","water_intensity","Mix:1.59"
4500,"AS0","carbon_intensity","Mix:262.32"
4500,"AS0","water_intensity","Mix:1.68"
5400,"AS0","carbon_intensity","Mix:263.01"
5400,"AS0","water_intensity","Mix:1.74"
6300,"AS0","carbon_intensity","Mix:261.22"
6300,"AS0","water_intensity","Mix:1.88"
7200,"AS0","carbon_intensity","Mix:258.03"
7200,"AS0","water_intensity","Mix:2.01"
8100,"AS0","carbon_intensity","Mix:259.22"
8100,"AS0","water_intensity","Mix:2.06"
9000,"AS0","carbon_intensity","Mix:259.27"
9000,"AS0","water_intensity","Mix:2.14"
9900,"AS0","carbon_intensity","Mix:257.13"
9900,"AS0","water_intensity","Mix:2.20"
10800,"AS0","carbon_intensity","Mix:258.98"
10800,"AS0","water_intensity","Mix:2.13"
11700,"AS0","carbon_intensity","Mix:259.06"
11700,"AS0","water_intensity","Mix:2.15"
12600,"AS0","carbon_intensity","Mix:259.61"
12600,"AS0","water_intensity","Mix:2.15"
13500,"AS0","carbon_intensity","Mix:260.61"
13500,"AS0","water_intensity","Mix:2.21"
14400,"AS0","carbon_intensity","Mix:261.44"
14400,"AS0","water_intensity","Mix:2.27"
15300,"AS0","carbon_intensity","Mix:263.25"
15300,"AS0","water_intensity","Mix:2.21"
16200,"AS0","carbon_intensity","Mix:265.57"
16200,"AS0","water_intensity","Mix:2.27"
17100,"AS0","carbon_intensity","Mix:267.99"
17100,"AS0","water_intensity","Mix:2.16"
18000,"AS0","carbon_intensity","Mix:268.42"
18000,"AS0","water_intensity","Mix:2.17"
18900,"AS0","carbon_intensity","Mix:273.35"
18900,"AS0","water_intensity","Mix:2.04"
19800,"AS0","carbon_intensity","Mix:282.69"
19800,"AS0","water_intensity","Mix:1.89"
20700,"AS0","carbon_intensity","Mix:289.74"
20700,"AS0","water_intensity","Mix:1.74"
21600,"AS0","carbon_intensity","Mix:294.24"
21600,"AS0","water_intensity","Mix:1.68"
22500,"AS0","carbon_intensity","Mix:303.08"
22500,"AS0","water_intensity","Mix:1.60"
23400,"AS0","carbon_intensity","Mix:309.43"
23400,"AS0","water_intensity","Mix:1.51"
24300,"AS0","carbon_intensity","Mix:310.39"
24300,"AS0","water_intensity","Mix:1.52"
25200,"AS0","carbon_intensity","Mix:311.88"
25200,"AS0","water_intensity","Mix:1.54"
26100,"AS0","carbon_intensity","Mix:310.87"
26100,"AS0","water_intensity","Mix:1.64"
27000,"AS0","carbon_intensity","Mix:309.89"
27000,"AS0","water_intensity","Mix:1.67"
27900,"AS0","carbon_intensity","Mix:307.12"
27900,"AS0","water_intensity","Mix:1.82"
28800,"AS0","carbon_intensity","Mix:303.47"
28800,"AS0","water_intensity","Mix:2.05"
29700,"AS0","carbon_intensity","Mix:302.02"
29700,"AS0","water_intensity","Mix:2.12"
30600,"AS0","carbon_intensity","Mix:296.51"
30600,"AS0","water_intensity","Mix:2.20"
31500,"AS0","carbon_intensity","Mix:290.75"
31500,"AS0","water_intensity","Mix:2.31"
32400,"AS0","carbon_intensity","Mix:290.12"
32400,"AS0","water_intensity","Mix:2.39"
33300,"AS0","carbon_intensity","Mix:289.75"
33300,"AS0","water_intensity","Mix:2.47"
34200,"AS0","carbon_intensity","Mix:289.02"
34200,"AS0","water_intensity","Mix:2.46"
35100,"AS0","carbon_intensity","Mix:288.89"
35100,"AS0","water_intensity","Mix:2.44"
36000,"AS0","carbon_intensity","Mix:286.56"
36000,"AS0","water_intensity","Mix:2.45"
36900,"AS0","carbon_intensity","Mix:286.14"
36900,"AS0","water_intensity","Mix:2.36"
37800,"AS0","carbon_intensity","Mix:283.20"
37800,"AS0","water_intensity","Mix:2.36"
38700,"AS0","carbon_intensity","Mix:282.19"
38700,"AS0","water_intensity","Mix:2.16"
39600,"AS0","carbon_intensity","Mix:281.95"
39600,"AS0","water_intensity","Mix:2.00"
40500,"AS0","carbon_intensity","Mix:281.71"
40500,"AS0","water_intensity","Mix:1.83"
41400,"AS0","carbon_intensity","Mix:280.56"
41400,"AS0","water_intensity","Mix:1.77"
42300,"AS0","carbon_intensity","Mix:278.78"
42300,"AS0","water_intensity","Mix:1.81"
43200,"AS0","carbon_intensity","Mix:281.06"
43200,"AS0","water_intensity","Mix:1.68"
44100,"AS0","carbon_intensity","Mix:280.91"
44100,"AS0","water_intensity","Mix:1.71"
45000,"AS0","carbon_intensity","Mix:282.24"
45000,"AS0","water_intensity","Mix:1.74"
45900,"AS0","carbon_intensity","Mix:280.87"
45900,"AS0","water_intensity","Mix:1.79"
46800,"AS0","carbon_intensity","Mix:281.32"
46800,"AS0","water_intensity","Mix:1.83"
47700,"AS0","carbon_intensity","Mix:285.38"
47700,"AS0","water_intensity","Mix:1.77"
48600,"AS0","carbon_intensity","Mix:289.49"
48600,"AS0","water_intensity","Mix:1.78"
49500,"AS0","carbon_intensity","Mix:292.68"
49500,"AS0","water_intensity","Mix:1.82"
